originator_address,loan_class,loan_count,volume_usd,share_of_originator_volume,period
pb1k38pa6rgnepcs592n4mvr3hxucw8tslprcmlvk,Other,199,2038532.51,0.08041624845591726,all_time
pb1k38pa6rgnepcs592n4mvr3hxucw8tslprcmlvk,HELOC/Property-Secured,314,1449172.27,0.05716710268199039,all_time
pb1ktdq0qzdkxeafxuagteyelv2cagwpn0ulwp4lp,HELOC/Property-Secured,1,95500.96,1.0,all_time
pb1ktdq0qzdkxeafxuagteyelv2cagwpn0ulwp4lp,Unknown,1,,0.0,all_time
pb1kx5k0nr068xhxgcmnzzef9523cxdcexlm3r29w,Unknown,1091,54083037.07,0.822816568779112,all_time
pb1kx5k0nr068xhxgcmnzzef9523cxdcexlm3r29w,HELOC/Property-Secured,620,6877714.13,0.10463719214151401,all_time
pb1kx5k0nr068xhxgcmnzzef9523cxdcexlm3r29w,Other,431,4768402.93,0.07254623907937395,all_time
pb1m2qnazr9xjha8v8ffc7ff06l8kdealpvvpr7tu,Other,4,481598.17,0.45998183867130155,all_time
pb1m2qnazr9xjha8v8ffc7ff06l8kdealpvvpr7tu,Unknown,9,402151.98,0.3841015574990754,all_time
pb1m2qnazr9xjha8v8ffc7ff06l8kdealpvvpr7tu,HELOC/Property-Secured,6,163243.73,0.15591660382962316,all_time
pb1mke6ngdy9ugxhj4ke7a49ayzgqk8qx0t3aqsls,Unknown,2,105443.65,1.0,all_time
pb1mke6ngdy9ugxhj4ke7a49ayzgqk8qx0t3aqsls,Other,1,,0.0,all_time
pb1mke6ngdy9ugxhj4ke7a49ayzgqk8qx0t3aqsls,HELOC/Property-Secured,1,,0.0,all_time
pb1ml9tzy5znrnnaj6pqnl86gagxlv8jrydk2jjdq,Unknown,23,985345.77,0.7579829073985995,all_time
pb1ml9tzy5znrnnaj6pqnl86gagxlv8jrydk2jjdq,Other,7,314612.0,0.24201709260140042,all_time
pb1ml9tzy5znrnnaj6pqnl86gagxlv8jrydk2jjdq,HELOC/Property-Secured,11,,0.0,all_time
pb1mlw6hrg0fx79txuzq6frj2vms8gvxntep75f67,Unknown,13,445178.81,0.44170608145114454,all_time
pb1mlw6hrg0fx79txuzq6frj2vms8gvxntep75f67,HELOC/Property-Secured,8,437683.98,0.4342697167453705,all_time
pb1mlw6hrg0fx79txuzq6frj2vms8gvxntep75f67,Other,2,124999.29,0.12402420180348485,all_time
pb1pax2c49kxep98gmwd0fkgj97cg3njcrv9u7kkg,Unknown,5,451806.89,0.9015862027885488,all_time
pb1pax2c49kxep98gmwd0fkgj97cg3njcrv9u7kkg,Other,2,49317.56,0.09841379721145116,all_time
pb1pax2c49kxep98gmwd0fkgj97cg3njcrv9u7kkg,HELOC/Property-Secured,4,,0.0,all_time
pb1q4ffj426hu5fj0h7muy2h7hj6sqmqe7vz67245,Unknown,38,1961932.6400000001,0.7226883988469298,all_time
pb1q4ffj426hu5fj0h7muy2h7hj6sqmqe7vz67245,Other,13,459567.58,0.169284180190895,all_time
pb1q4ffj426hu5fj0h7muy2h7hj6sqmqe7vz67245,HELOC/Property-Secured,21,293269.58,0.10802742096217513,all_time
pb1qjxvmds5pwjt3zursu967phrlf29ndtqr82r4e,Unknown,87,3918283.79,0.8435845524443246,all_time
pb1qjxvmds5pwjt3zursu967phrlf29ndtqr82r4e,HELOC/Property-Secured,47,565179.02,0.12167987726014659,all_time
pb1qjxvmds5pwjt3zursu967phrlf29ndtqr82r4e,Other,29,161339.87,0.03473557029552867,all_time
pb1qqzphpm5wlnere7ctv65zef82vgfjq2vppvefg,Unknown,26,2258082.72,0.7327259865302381,all_time
pb1qqzphpm5wlnere7ctv65zef82vgfjq2vppvefg,HELOC/Property-Secured,27,764313.95,0.24801247893725212,all_time
pb1qqzphpm5wlnere7ctv65zef82vgfjq2vppvefg,Other,11,59359.35,0.01926153453250981,all_time
pb1qrzad80dpwqd07xqa9durfm8ngek9vnv3s9z04,Unknown,8,531429.5599999999,0.8965801536876278,all_time
pb1qrzad80dpwqd07xqa9durfm8ngek9vnv3s9z04,HELOC/Property-Secured,2,61300.0,0.10341984631237222,all_time
pb1qrzad80dpwqd07xqa9durfm8ngek9vnv3s9z04,Other,2,,0.0,all_time
pb1rhnldxjfcv8e8kdt6mf6pyvqp92c4vyxskzt8t,HELOC/Property-Secured,1,,,all_time
pb1rjmhnyvcxmkkl5hj3h598tkrvqv829txnd3vg9,Unknown,2,149375.07,1.0,all_time
pb1rjmhnyvcxmkkl5hj3h598tkrvqv829txnd3vg9,Other,1,,0.0,all_time
pb1rjmhnyvcxmkkl5hj3h598tkrvqv829txnd3vg9,HELOC/Property-Secured,1,,0.0,all_time
pb1rsc5424sgxhxd6jfxr6n7agl50c7kxppkult50,Unknown,5,67077.27,0.6272682003318821,all_time
pb1rsc5424sgxhxd6jfxr6n7agl50c7kxppkult50,Other,2,39858.28,0.3727317996681178,all_time
pb1rsc5424sgxhxd6jfxr6n7agl50c7kxppkult50,HELOC/Property-Secured,3,,0.0,all_time
pb1s09xec76lk273ufl06p7j6q7m9cw788a0nnx9m,Other,2,,,all_time
pb1s09xec76lk273ufl06p7j6q7m9cw788a0nnx9m,Unknown,1,,,all_time
pb1s3cs34nl2q9sgqpwp69mq9ey82pkr6uwucv62p,Unknown,14,551187.26,0.9300803684283334,all_time
pb1s3cs34nl2q9sgqpwp69mq9ey82pkr6uwucv62p,HELOC/Property-Secured,2,41436.0,0.06991963157166663,all_time
pb1s3cs34nl2q9sgqpwp69mq9ey82pkr6uwucv62p,Other,4,,0.0,all_time
pb1sdentsz7ymu9qv3rvyscnseqyj02z2dvrakywv,Unknown,17,950072.0599999999,0.7793756775234653,all_time
pb1sdentsz7ymu9qv3rvyscnseqyj02z2dvrakywv,Other,10,141177.76,0.11581280724247925,all_time
pb1sdentsz7ymu9qv3rvyscnseqyj02z2dvrakywv,HELOC/Property-Secured,9,127767.0,0.1048115152340556,all_time
pb1t8e7n3dd5hd0rcwc33sqjwkrwh52qxylw8hvkl,Unknown,21,1186690.5,0.7858079810282569,all_time
