originator_address,loan_class,loan_count,volume_usd,share_of_originator_volume,period
pb1ezskr02qt7wyaaguq3wk0rgfjsvpwrrkufeh43,Other,1,159750.0,1.0,trailing_30d
pb1fe4dczsg6xwzulr74zjzkf9rllsfnvr8pgxw7f,Unknown,11,335273.95,0.6879845519974823,trailing_30d
pb1fe4dczsg6xwzulr74zjzkf9rllsfnvr8pgxw7f,HELOC/Property-Secured,4,125776.28,0.25809382938253894,trailing_30d
pb1fe4dczsg6xwzulr74zjzkf9rllsfnvr8pgxw7f,Other,4,26277.5,0.0539216186199788,trailing_30d
pb1fmxzuzx5c4ja50vu94nt0aessnuedzmppde8qr,Unknown,248,3199145.39,0.6673570462990526,trailing_30d
pb1fmxzuzx5c4ja50vu94nt0aessnuedzmppde8qr,Other,38,798109.5900000001,0.16648948193171922,trailing_30d
pb1fmxzuzx5c4ja50vu94nt0aessnuedzmppde8qr,HELOC/Property-Secured,73,796498.84,0.1661534717692282,trailing_30d
pb1g7n9qcd7zzpafv0zx8u6gdqvj34aalqapygrks,Unknown,25,348981.4,0.6144502490883423,trailing_30d
pb1g7n9qcd7zzpafv0zx8u6gdqvj34aalqapygrks,HELOC/Property-Secured,17,156242.0,0.2750947065318117,trailing_30d
pb1g7n9qcd7zzpafv0zx8u6gdqvj34aalqapygrks,Other,3,62733.73,0.11045504437984607,trailing_30d
pb1gpkulw7lfs850speyf4f4yxtcdxx2punyr8ld3,Unknown,30,281451.47,0.759905428245174,trailing_30d
pb1gpkulw7lfs850speyf4f4yxtcdxx2punyr8ld3,Other,4,88925.5,0.24009457175482593,trailing_30d
pb1gpkulw7lfs850speyf4f4yxtcdxx2punyr8ld3,HELOC/Property-Secured,8,,0.0,trailing_30d
pb1h3cazsx4p6v3alf0ejuq68qge59k9r9pfrqzlr,HELOC/Property-Secured,12,406850.18,0.7788377444991414,trailing_30d
pb1h3cazsx4p6v3alf0ejuq68qge59k9r9pfrqzlr,Other,2,115531.0,0.22116225550085858,trailing_30d
pb1h3cazsx4p6v3alf0ejuq68qge59k9r9pfrqzlr,Unknown,16,,0.0,trailing_30d
pb1hq228xhdc9hfcav2z8xvyzpyejs2k0tfayrk2r,Unknown,9,257564.15,1.0,trailing_30d
pb1hq228xhdc9hfcav2z8xvyzpyejs2k0tfayrk2r,HELOC/Property-Secured,2,,0.0,trailing_30d
pb1j5n8r23euphx7medsslqwhpyxsksh5ajtldcql,Other,1,78784.5,1.0,trailing_30d
pb1j5n8r23euphx7medsslqwhpyxsksh5ajtldcql,Unknown,1,,0.0,trailing_30d
pb1jns80rlj7qq5087s84sl68z5rsk5q3d6qq92pg,HELOC/Property-Secured,1,,,trailing_30d
pb1jns80rlj7qq5087s84sl68z5rsk5q3d6qq92pg,Unknown,8,,,trailing_30d
pb1jxzl7tqrga090yz8sf0z0z76sxj6an3kcuwy6g,Other,4,148427.0,0.7801148935946558,trailing_30d
pb1jxzl7tqrga090yz8sf0z0z76sxj6an3kcuwy6g,HELOC/Property-Secured,5,41836.0,0.21988510640534417,trailing_30d
pb1jxzl7tqrga090yz8sf0z0z76sxj6an3kcuwy6g,Unknown,11,,0.0,trailing_30d
pb1k38pa6rgnepcs592n4mvr3hxucw8tslprcmlvk,Unknown,644,5833809.67,0.6258435473433183,trailing_30d
pb1k38pa6rgnepcs592n4mvr3hxucw8tslprcmlvk,Other,86,2038532.51,0.21869112802802126,trailing_30d
pb1k38pa6rgnepcs592n4mvr3hxucw8tslprcmlvk,HELOC/Property-Secured,215,1449172.27,0.15546532462866056,trailing_30d
pb1ktdq0qzdkxeafxuagteyelv2cagwpn0ulwp4lp,HELOC/Property-Secured,1,95500.96,1.0,trailing_30d
pb1ktdq0qzdkxeafxuagteyelv2cagwpn0ulwp4lp,Unknown,1,,0.0,trailing_30d
pb1kx5k0nr068xhxgcmnzzef9523cxdcexlm3r29w,Unknown,1214,13203240.99,0.5313312707488634,trailing_30d
pb1kx5k0nr068xhxgcmnzzef9523cxdcexlm3r29w,HELOC/Property-Secured,430,6877714.13,0.27677633024407244,trailing_30d
pb1kx5k0nr068xhxgcmnzzef9523cxdcexlm3r29w,Other,164,4768402.93,0.19189239900706406,trailing_30d
pb1m2qnazr9xjha8v8ffc7ff06l8kdealpvvpr7tu,Other,2,481598.17,0.626508119789432,trailing_30d
pb1m2qnazr9xjha8v8ffc7ff06l8kdealpvvpr7tu,HELOC/Property-Secured,3,163243.73,0.21236277195512124,trailing_30d
pb1m2qnazr9xjha8v8ffc7ff06l8kdealpvvpr7tu,Unknown,11,123860.3,0.16112910825544663,trailing_30d
pb1mke6ngdy9ugxhj4ke7a49ayzgqk8qx0t3aqsls,HELOC/Property-Secured,1,,,trailing_30d
pb1mke6ngdy9ugxhj4ke7a49ayzgqk8qx0t3aqsls,Unknown,3,,,trailing_30d
pb1ml9tzy5znrnnaj6pqnl86gagxlv8jrydk2jjdq,Other,3,314612.0,0.5790862066337851,trailing_30d
pb1ml9tzy5znrnnaj6pqnl86gagxlv8jrydk2jjdq,Unknown,21,228678.44,0.420913793366215,trailing_30d
pb1ml9tzy5znrnnaj6pqnl86gagxlv8jrydk2jjdq,HELOC/Property-Secured,6,,0.0,trailing_30d
pb1mlw6hrg0fx79txuzq6frj2vms8gvxntep75f67,HELOC/Property-Secured,8,437683.98,0.7778514189696807,trailing_30d
pb1mlw6hrg0fx79txuzq6frj2vms8gvxntep75f67,Other,1,124999.29,0.22214858103031923,trailing_30d
pb1mlw6hrg0fx79txuzq6frj2vms8gvxntep75f67,Unknown,9,,0.0,trailing_30d
pb1pax2c49kxep98gmwd0fkgj97cg3njcrv9u7kkg,Other,1,49317.56,1.0,trailing_30d
pb1pax2c49kxep98gmwd0fkgj97cg3njcrv9u7kkg,HELOC/Property-Secured,1,,0.0,trailing_30d
pb1pax2c49kxep98gmwd0fkgj97cg3njcrv9u7kkg,Unknown,8,,0.0,trailing_30d
pb1q4ffj426hu5fj0h7muy2h7hj6sqmqe7vz67245,Unknown,45,519211.47,0.40816951314196215,trailing_30d
pb1q4ffj426hu5fj0h7muy2h7hj6sqmqe7vz67245,Other,6,459567.58,0.3612814550965712,trailing_30d
pb1q4ffj426hu5fj0h7muy2h7hj6sqmqe7vz67245,HELOC/Property-Secured,11,293269.58,0.23054903176146654,trailing_30d
pb1qjxvmds5pwjt3zursu967phrlf29ndtqr82r4e,Unknown,83,1505007.73,0.6744296556946293,trailing_30d
pb1qjxvmds5pwjt3zursu967phrlf29ndtqr82r4e,HELOC/Property-Secured,34,565179.02,0.25327012231653323,trailing_30d
pb1qjxvmds5pwjt3zursu967phrlf29ndtqr82r4e,Other,12,161339.87,0.0723002219888374,trailing_30d
pb1qqzphpm5wlnere7ctv65zef82vgfjq2vppvefg,HELOC/Property-Secured,17,764313.95,0.7534979986086124,trailing_30d
pb1qqzphpm5wlnere7ctv65zef82vgfjq2vppvefg,Unknown,42,190681.02000000002,0.18798265678998638,trailing_30d
pb1qqzphpm5wlnere7ctv65zef82vgfjq2vppvefg,Other,1,59359.35,0.058519344601401214,trailing_30d
pb1qrzad80dpwqd07xqa9durfm8ngek9vnv3s9z04,HELOC/Property-Secured,2,61300.0,1.0,trailing_30d
pb1qrzad80dpwqd07xqa9durfm8ngek9vnv3s9z04,Other,1,,0.0,trailing_30d
pb1qrzad80dpwqd07xqa9durfm8ngek9vnv3s9z04,Unknown,7,,0.0,trailing_30d
pb1rhnldxjfcv8e8kdt6mf6pyvqp92c4vyxskzt8t,HELOC/Property-Secured,1,,,trailing_30d
pb1rjmhnyvcxmkkl5hj3h598tkrvqv829txnd3vg9,Unknown,3,70102.09,1.0,trailing_30d
pb1rjmhnyvcxmkkl5hj3h598tkrvqv829txnd3vg9,Other,1,,0.0,trailing_30d
pb1rsc5424sgxhxd6jfxr6n7agl50c7kxppkult50,Other,1,39858.28,0.5750188122651352,trailing_30d
pb1rsc5424sgxhxd6jfxr6n7agl50c7kxppkult50,Unknown,5,29458.2,0.4249811877348648,trailing_30d
pb1rsc5424sgxhxd6jfxr6n7agl50c7kxppkult50,HELOC/Property-Secured,2,,0.0,trailing_30d
pb1s09xec76lk273ufl06p7j6q7m9cw788a0nnx9m,Other,1,,,trailing_30d
pb1s09xec76lk273ufl06p7j6q7m9cw788a0nnx9m,Unknown,1,,,trailing_30d
pb1s3cs34nl2q9sgqpwp69mq9ey82pkr6uwucv62p,Unknown,10,202476.47999999998,0.8301193936448025,trailing_30d
pb1s3cs34nl2q9sgqpwp69mq9ey82pkr6uwucv62p,HELOC/Property-Secured,1,41436.0,0.16988060635519758,trailing_30d
pb1s3cs34nl2q9sgqpwp69mq9ey82pkr6uwucv62p,Other,3,,0.0,trailing_30d
pb1sdentsz7ymu9qv3rvyscnseqyj02z2dvrakywv,Other,5,141177.76,0.4554926777696624,trailing_30d
pb1sdentsz7ymu9qv3rvyscnseqyj02z2dvrakywv,HELOC/Property-Secured,6,127767.0,0.4122245101536988,trailing_30d
pb1sdentsz7ymu9qv3rvyscnseqyj02z2dvrakywv,Unknown,20,41000.42,0.13228281207663883,trailing_30d
pb1t8e7n3dd5hd0rcwc33sqjwkrwh52qxylw8hvkl,Unknown,20,656378.56,0.6698824934249049,trailing_30d
pb1t8e7n3dd5hd0rcwc33sqjwkrwh52qxylw8hvkl,Other,2,170086.31,0.17358556233195874,trailing_30d
pb1t8e7n3dd5hd0rcwc33sqjwkrwh52qxylw8hvkl,HELOC/Property-Secured,8,153376.47,0.15653194424313632,trailing_30d
pb1tntasskkhfuaeataw3qj6ed7u4gmlcxz69tppu,Other,6,126686.29000000001,0.4682524314153099,trailing_30d
pb1tntasskkhfuaeataw3qj6ed7u4gmlcxz69tppu,HELOC/Property-Secured,19,97939.48000000001,0.3619997052684321,trailing_30d
pb1tntasskkhfuaeataw3qj6ed7u4gmlcxz69tppu,Unknown,31,45925.5,0.16974786331625794,trailing_30d
pb1ucm247a2w2wwkfkck2j83mgle05959r3a39s96,HELOC/Property-Secured,1,,,trailing_30d
pb1ucm247a2w2wwkfkck2j83mgle05959r3a39s96,Unknown,3,,,trailing_30d
pb1urn5mj5trz3m24qf8fj73udy55gla6eunt4ha4,HELOC/Property-Secured,16,307863.46,0.5120911860043955,trailing_30d
pb1urn5mj5trz3m24qf8fj73udy55gla6eunt4ha4,Unknown,39,293325.29000000004,0.4879088139956046,trailing_30d
pb1urn5mj5trz3m24qf8fj73udy55gla6eunt4ha4,Other,2,,0.0,trailing_30d
pb1v3uda8qgxv69tx6wclsp0jn4n8xxa5h7gpt2jp,Unknown,134,1453414.96,0.5103062078894185,trailing_30d
pb1v3uda8qgxv69tx6wclsp0jn4n8xxa5h7gpt2jp,Other,24,757347.26,0.26591098821911224,trailing_30d
pb1v3uda8qgxv69tx6wclsp0jn4n8xxa5h7gpt2jp,HELOC/Property-Secured,36,637361.0,0.2237828038914693,trailing_30d
pb1vcvv37pka8nyk2q3lkxz56c3ljeu4p7nkd2mdt,HELOC/Property-Secured,5,484709.12,0.8932074244760987,trailing_30d
